#
#      UT day (days)  Temperature (c)  rms Temp (c)    d T / dt (C/days)
       1.3020833      -2.1405000       4.1958951       28.933333
       1.3125000      -1.4752222       3.5508900      -47.000000
       1.3229167      -3.1196667       3.2503380      -32.000000
       1.3333333      -2.1418889       3.6021502      -41.680000
       1.3437500      -3.9880000       3.7735961      -2.5904762
       1.3541667      -2.1958571       4.1647758       57.908571
       1.3645833      -2.7815714       3.5915244       107.65714
       1.3750000     0.047000000       4.0101434       32.171429
       1.3854167      -2.1113333       3.4557802      -116.57143
       1.3958333      -2.3815714       3.2621385      -75.800000
       1.4062500      -3.6905000       2.0077973      -41.561905
       1.4166667      -3.2474444       1.6867951       113.16000
       1.4270833      -1.3330000       2.3333452       182.73333
       1.4375000      0.55950000       3.7381957       170.46857
       1.4479167       2.2184286       3.3162299       125.88000
       1.4583333       3.1820000       4.8720889       230.81143
       1.4687500       7.0270000       4.4075819       107.76000
       1.4791667       5.4270000       4.9574411       12.693333
       1.4895833       7.2914444       3.5911736       1.8600000
       1.5000000       5.4657500       4.0459801      -39.333333
       1.5104167       6.4720000       3.8187367       67.100000
       1.5208333       6.8636667       5.5009696       206.57143
       1.5312500       10.775571       4.2942653       113.80000
       1.5416667       9.2345000       4.8711798      -48.342857
       1.5520833       9.7684286       3.4208743       72.900000
       1.5625000       10.753250       5.1838649       108.57143
       1.5729167       12.030333       3.8930280       49.757143
       1.5833333       11.789857       6.2564919       114.62857
       1.5937500       14.418429       8.1694480     -0.37714286
       1.6041667       11.782000       5.3974299      -82.868571
       1.6145833       12.692000       5.1815083      -55.570909
       1.6250000       10.624273       2.8401024      -33.960000
       1.6354167       11.984500       3.4073188       3.7909091
       1.6458333       10.703250       3.3456195      -52.200000
       1.6562500       10.897000       2.9473717      -55.500000
       1.6666667       9.5470000       2.0854256       34.560000
       1.6770833       11.617000       3.3210691       161.10000
       1.6875000       12.903250       5.0682089       27.840000
       1.6979167       12.197000       3.3555923      -29.900000
       1.7083333       12.280333       3.8471580      -16.800000
       1.7187500       11.847000       3.2890728       8.0000000
       1.7291667       12.447000       3.9388027      -48.900000
       1.7395833       10.828250       3.6266806      -22.133333
       1.7500000       11.985889       3.0799531      -39.420000
       1.7604167       10.007000       2.8766107      -81.786667
       1.7708333       10.282000       2.3816486      -27.680000
       1.7812500       9.4303333       2.8756521      -13.080000
       1.7916667       10.009500       1.7896029      -55.200000
       1.8020833       8.2803333       1.9926532      -66.771429
       1.8125000       8.6184286       2.5969304      -4.8000000
       1.8229167       8.1803333       3.2259366      -2.7428571
       1.8333333       8.5612857       2.4909359       46.057143
       1.8437500       9.1398571       2.0719211      -62.057143
       1.8541667       7.2684286       2.6590815      -35.257143
       1.8645833       8.4053333       2.4526346      -70.028571
       1.8750000       5.8095000       2.9216862      -61.085714
       1.8854167       7.1327143       2.8162792      -14.563636
       1.8958333       5.5060909       3.1307202      -78.034286
       1.9062500       5.5070000       2.9825232      -100.03636
       1.9166667       3.4220000       3.1054835      -121.38000
       1.9270833       2.9782500       2.9805246      -44.400000
       1.9375000       2.4970000       3.0649452      -91.260000
       1.9479167       1.0770000       2.0241047      -33.900000
       1.9583333       1.7907500       3.0211679      -1.4400000
       1.9687500       1.0470000       2.5236382      -56.100000
       1.9791667      0.62200000       2.2304708      -48.342857
       1.9895833     0.039857143       2.1584000      -17.520000
       2.0000000      0.25700000       1.7767245      -52.057143
       2.0104167      -1.0446667       1.8800044      -88.320000
       2.0208333      -1.5830000       2.4511732      -37.466667
       2.0312500      -1.8252222       2.2883006      -52.560000
       2.0416667      -2.6780000       2.2668811       1.2848485
       2.0520833      -1.7984545       2.8212989      -4.2000000
       2.0625000      -2.7655000       3.0622996      -42.218182
       2.0729167      -2.6780000       2.1745051       5.0571429
       2.0833333      -2.6601429       2.4258037       54.685714
       2.0937500      -1.5387143       2.3557933      -12.257143
       2.1041667      -2.9155000       2.2099679      -38.605714
       2.1145833      -2.3430000       3.0576543       107.40000
       2.1250000     -0.67800000       7.0979876       45.805714
       2.1354167      -1.3887143       6.1555337      -6.5333333
       2.1458333     -0.81411111       7.1200324       11.314286
       2.1562500      -1.1530000       6.2444976      -4.8666667
       2.1666667     -0.91550000       6.6880357       3.7714286
       2.1770833      -1.0744286       5.1625137      -14.040000
       2.1875000      -1.2080000       5.9414013      -44.091429
       2.1979167      -1.9930000       4.6070477      -44.160000
       2.2083333      -2.1280000       5.3345962      -53.546667
       2.2187500      -3.1085556       3.3769850      -26.914286
       2.2291667      -2.6887143       4.0830661       43.123810
       2.2395833      -2.2101429       2.9080963       196.11429
       2.2500000       1.3970000       4.8406611       112.45714
       2.2604167      0.13271429       5.0139567      -143.31429
       2.2708333      -1.5887143       5.1451202      -157.44762
       2.2812500      -3.1474444       5.0025271      -39.485714
       2.2916667      -2.4113333       4.9635085      -39.352381
       2.3020833      -3.9672857       4.7018360      -26.800000
       2.3125000      -2.9696667       4.1281554       17.785714
       2.3229167      -3.5967500       5.0684203       17.600000
       2.3333333      -2.6030000       3.9565610       47.700000
       2.3437500      -2.6030000       5.1911200      -59.700000
       2.3541667      -3.8467500       4.0481422      -90.000000
       2.3645833      -4.4780000       4.4902518       11.700000
       2.3750000      -3.6030000       3.2044240       100.80000
       2.3854167      -2.3780000       3.9890788       182.74286
       2.3958333      0.20414286       5.2744217       100.40000
       2.4062500     -0.28633333       5.2634273      -44.142857
       2.4166667     -0.71550000       7.3449083       28.000000
       2.4270833      0.29700000       6.5479004       232.80000
       2.4375000       4.1345000       6.9189569       110.40000
       2.4479167       2.5970000       5.6131987       106.09029
       2.4583333       6.3447143       9.1160538       84.900000
       2.4687500       4.3657500       7.2926057       114.15771
       2.4791667       8.7230000       8.4701776       82.140000
       2.4895833       6.0770000       4.2824059      -36.288000
       2.5000000       7.9670000       4.4492321       7.8933333
       2.5104167       6.2414444       3.4364266      -42.360000
       2.5208333       7.0845000       2.8091369       104.66667
       2.5312500       8.4220000       2.1101540       135.34286
       2.5416667       9.9041429       2.9373214       224.00000
       2.5520833       13.088667       5.7287360      -23.142857
       2.5625000       9.4220000       3.5378565      -8.8571429
       2.5729167       12.904143       7.1828168       72.600000
       2.5833333       10.934500       3.9500226      -51.942857
       2.5937500       11.822000       3.9153225      -32.657143
       2.6041667       10.254143       3.0423988      -37.542857
       2.6145833       11.039857       4.8411800      -13.782857
       2.6250000       9.9670000       2.9387450       12.986057
       2.6354167       11.310400       4.6475652      -67.440000
       2.6458333       8.5620000       3.5188421      -32.143200
       2.6562500       10.640750       5.1170190       46.144000
       2.6666667       9.5233333       4.1831855       102.06000
       2.6770833       12.767000       5.0878040       149.03600
       2.6875000       12.628250       3.4423764      -48.000000
       2.6979167       11.767000       3.3050340      -58.200000
       2.7083333       11.415750       3.2543309      0.54000000
       2.7187500       11.778250       4.2683166      -42.728571
       2.7291667       10.525571       2.1706100      -99.557143
       2.7395833       9.7041429       3.2910774      -29.371429
       2.7500000       9.9136667       3.0806926      -49.676190
       2.7604167       8.6692222       2.7276491       60.800000
       2.7708333       11.180333       4.2029751       34.060606
       2.7812500       9.3788182       3.2438613      -49.600000
       2.7916667       10.147000       3.5937446      -44.247273
       2.8020833       8.4570000       1.8895620      -112.45714
       2.8125000       7.8041429       2.4418962      -65.280000
       2.8229167       7.0970000       3.0581040       59.657143
       2.8333333       9.0470000       3.5268021       4.4000000
       2.8437500       7.1886667       5.0179096      -33.300000
       2.8541667       8.3532500       1.9602182       57.200000
       2.8645833       8.3803333       3.1828708      -60.300000
       2.8750000       7.0970000       2.3792256      -4.9600000
       2.8854167       8.2770000       2.6416377      -69.900000
       2.8958333       5.6407500       2.7004547      -137.55429
       2.9062500       5.4112857       4.2028477      -38.580000
       2.9166667       4.8370000       2.5132759      -70.503896
       2.9270833       3.9424545       2.9542727      -86.453333
       2.9375000       3.0358889       1.8481034      -77.381818
       2.9479167       2.3303333       2.2527761      -68.723810
       2.9583333       1.6041429       2.2811599      -63.657143
       2.9687500       1.0041429       2.3843987      -5.5428571
       2.9791667       1.4886667       2.5836828       1.3714286
       2.9895833       1.0327143       3.4741563      -66.320000
       3.0000000      0.10700000       5.3527329      -112.45714
       3.0104167      -1.3101429       2.6975959      -84.880000
       3.0208333      -1.6613333       3.7885903      -12.000000
       3.0312500      -1.5601429       3.4622282      -73.200000
       3.0416667      -3.1863333       3.3406087      -36.857143
