#      
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       1.3020833      0.12920000    0.0062225397      0.43360000
       1.3125000      -999.00000      -999.00000      -999.00000
       1.3229167      0.11390000    0.0024041631     -0.44160000
       1.3333333      -999.00000      -999.00000      -999.00000
       1.3437500      0.11080000    0.0070710678     -0.22200000
       1.3541667      -999.00000      -999.00000      -999.00000
       1.3645833      0.10465000   0.00049497475    -0.099600000
       1.3750000      -999.00000      -999.00000      -999.00000
       1.3854167      0.10665000    0.0031819805     0.017066667
       1.3958333      -999.00000      -999.00000      -999.00000
       1.4062500      -999.00000      -999.00000      -999.00000
       1.4166667      -999.00000      -999.00000      -999.00000
       1.4270833      -999.00000      -999.00000      -999.00000
       1.4375000      -999.00000      -999.00000      -999.00000
       1.4479167      -999.00000      -999.00000      -999.00000
       1.4583333     0.087750000     0.021991021      0.76933333
       1.4687500      -999.00000      -999.00000      -999.00000
       1.4791667      0.10990000    0.0066468037      0.44160000
       1.4895833      -999.00000      -999.00000      -999.00000
       1.5000000      0.10615000   7.0710678e-05     0.050400000
       1.5104167      -999.00000      -999.00000      -999.00000
       1.5208333      0.11200000       0.0000000     0.072000000
       1.5312500      -999.00000      -999.00000      -999.00000
       1.5416667      0.10915000   0.00063639610    -0.045600000
       1.5520833      0.10915000   0.00063639610       0.0000000
       1.5625000      0.10915000   0.00063639610       0.0000000
       1.5729167      0.10915000   0.00063639610       0.0000000
       1.5833333      0.10915000   0.00063639610       2.8512000
       1.5937500      0.16855000     0.010960155       3.5632000
       1.6041667      -999.00000      -999.00000      -999.00000
       1.6145833      0.15365000    0.0098287843      0.35040000
       1.6250000      -999.00000      -999.00000      -999.00000
       1.6354167      0.18315000     0.019304015      0.45600000
       1.6458333      -999.00000      -999.00000      -999.00000
       1.6562500      0.17265000    0.0088388348     -0.55200000
       1.6666667      -999.00000      -999.00000      -999.00000
       1.6770833      0.16015000     0.034011836     -0.31885714
       1.6875000      -999.00000      -999.00000      -999.00000
       1.6979167      -999.00000      -999.00000      -999.00000
       1.7083333      -999.00000      -999.00000      -999.00000
       1.7187500      -999.00000      -999.00000      -999.00000
       1.7291667      -999.00000      -999.00000      -999.00000
       1.7395833      -999.00000      -999.00000      -999.00000
       1.7500000      0.20865000     0.021001071    -0.029984416
       1.7604167      -999.00000      -999.00000      -999.00000
       1.7708333      -999.00000      -999.00000      -999.00000
       1.7812500      -999.00000      -999.00000      -999.00000
       1.7916667      0.19085000     0.013788582     -0.20000000
       1.8020833      -999.00000      -999.00000      -999.00000
       1.8125000      0.18905000     0.021566757     -0.15253333
       1.8229167      -999.00000      -999.00000      -999.00000
       1.8333333      -999.00000      -999.00000      -999.00000
       1.8437500      -999.00000      -999.00000      -999.00000
       1.8541667      -999.00000      -999.00000      -999.00000
       1.8645833      -999.00000      -999.00000      -999.00000
       1.8750000      -999.00000      -999.00000      -999.00000
       1.8854167      0.16105000     0.031041988       1.3146667
       1.8958333      -999.00000      -999.00000      -999.00000
       1.9062500      0.19855000     0.063286057       3.9012000
       1.9166667      -999.00000      -999.00000      -999.00000
       1.9270833      0.32360000      0.12487506      0.22320000
       1.9375000      -999.00000      -999.00000      -999.00000
       1.9479167      0.20785000      0.15365430      -2.7240000
       1.9583333      -999.00000      -999.00000      -999.00000
       1.9687500      0.21010000     0.030264170     -0.13284000
       1.9791667      -999.00000      -999.00000      -999.00000
       1.9895833      -999.00000      -999.00000      -999.00000
       2.0000000      -999.00000      -999.00000      -999.00000
       2.0104167      -999.00000      -999.00000      -999.00000
       2.0208333      -999.00000      -999.00000      -999.00000
       2.0312500      -999.00000      -999.00000      -999.00000
       2.0416667      -999.00000      -999.00000      -999.00000
       2.0520833      0.11875000      0.11405632       1.2207600
       2.0625000      -999.00000      -999.00000      -999.00000
       2.0729167      0.15625000     0.016617009       1.2432000
       2.0833333      -999.00000      -999.00000      -999.00000
       2.0937500      0.17055000     0.069508597    -0.012000000
       2.1041667      -999.00000      -999.00000      -999.00000
       2.1145833      0.15575000     0.047305444     -0.68038095
       2.1250000      -999.00000      -999.00000      -999.00000
       2.1354167      -999.00000      -999.00000      -999.00000
       2.1458333      -999.00000      -999.00000      -999.00000
       2.1562500      -999.00000      -999.00000      -999.00000
       2.1666667      -999.00000      -999.00000      -999.00000
       2.1770833      -999.00000      -999.00000      -999.00000
       2.1875000      0.11380000     0.018526198      -1.0947810
       2.1979167      -999.00000      -999.00000      -999.00000
       2.2083333     0.087900000    0.0039597980     -0.29760000
       2.2187500      -999.00000      -999.00000      -999.00000
       2.2291667      0.10140000    0.0072124892      0.56800000
       2.2395833      -999.00000      -999.00000      -999.00000
       2.2500000      -999.00000      -999.00000      -999.00000
       2.2604167      -999.00000      -999.00000      -999.00000
       2.2708333      0.11840000     0.019798990     0.081600000
       2.2812500      0.11840000     0.019798990  -8.8817842e-16
       2.2916667      0.11840000     0.019798990       0.0000000
       2.3020833      0.11840000     0.019798990   8.8817842e-16
       2.3125000      0.11840000     0.019798990      -1.2192000
       2.3229167     0.093000000    0.0072124892      -1.3072000
       2.3333333      -999.00000      -999.00000      -999.00000
       2.3437500      0.11290000     0.016829141       1.2288000
       2.3541667      -999.00000      -999.00000      -999.00000
       2.3645833      0.14420000     0.034082547    -0.010800000
       2.3750000      -999.00000      -999.00000      -999.00000
       2.3854167      0.11245000     0.029062089      -1.1112000
       2.3958333      -999.00000      -999.00000      -999.00000
       2.4062500     0.097900000    0.0050911688     -0.72255238
       2.4166667      -999.00000      -999.00000      -999.00000
       2.4270833      -999.00000      -999.00000      -999.00000
       2.4375000      -999.00000      -999.00000      -999.00000
       2.4479167      -999.00000      -999.00000      -999.00000
       2.4583333      -999.00000      -999.00000      -999.00000
       2.4687500      -999.00000      -999.00000      -999.00000
       2.4791667     0.039050000    0.0024748737     -0.24841905
       2.4895833      -999.00000      -999.00000      -999.00000
       2.5000000     0.037200000    0.0021213203      0.21720000
       2.5104167      -999.00000      -999.00000      -999.00000
       2.5208333     0.048100000    0.0035355339      0.24720000
       2.5312500      -999.00000      -999.00000      -999.00000
       2.5416667     0.047500000   0.00084852814     -0.14280000
       2.5520833      -999.00000      -999.00000      -999.00000
       2.5625000     0.042150000    0.0081317280    -0.085600000
       2.5729167     0.042150000    0.0081317280       0.0000000
       2.5833333     0.042150000    0.0081317280  -4.4408921e-16
       2.5937500     0.042150000    0.0081317280   4.4408921e-16
       2.6041667     0.042150000    0.0081317280      0.88320000
       2.6145833     0.060550000    0.0020506097       1.2840000
       2.6250000      -999.00000      -999.00000      -999.00000
