#      
#      UT day (days)  Temperature (c)  rms Temp (c)    d T / dt (C/days)
       1.3229167     -0.60300000      0.43204938      -70.800000
       1.3333333     -0.52800000       1.3788582       12.000000
       1.3437500     -0.35300000      0.56568542       6.0000000
       1.3541667      -999.00000      -999.00000      -999.00000
       1.3645833     -0.67800000      0.38890873      -8.4000000
       1.3750000     -0.72800000      0.53033009      -41.200000
       1.3854167      -1.5363333      0.41633320      -48.400000
       1.3958333      -1.7363333      0.38188131      -20.000000
       1.4062500      -1.9530000      0.52915026       8.0000000
       1.4166667      -1.5696667      0.66395281       60.000000
       1.4270833      -999.00000      -999.00000      -999.00000
       1.4375000      0.64700000      0.49497475       56.000000
       1.4479167      -999.00000      -999.00000      -999.00000
       1.4583333      0.76366667       1.9315365       96.800000
       1.4687500       2.2470000       4.8790368       57.600000
       1.4791667       1.9636667       5.0981206      -44.400000
       1.4895833      -999.00000      -999.00000      -999.00000
       1.5000000      0.32200000      0.24748737       98.800000
       1.5104167      -999.00000      -999.00000      -999.00000
       1.5208333       6.0803333       8.0703676       414.26667
       1.5312500       11.113667       7.2398780      -49.600000
       1.5416667       5.0470000       4.0363969      -113.60000
       1.5520833       8.7470000       4.1572226       264.00000
       1.5625000       10.547000       8.8388348       248.40000
       1.5729167       13.922000      0.38890873       400.80000
       1.5833333      -999.00000      -999.00000      -999.00000
       1.5937500       25.472000       1.8738330      -392.80000
       1.6041667       16.447000       11.172287      -477.00000
       1.6145833       15.534500       7.0115827      -241.20000
       1.6250000       11.422000       4.3487067      -173.40000
       1.6354167       11.922000      0.67175144       46.000000
       1.6458333      -999.00000      -999.00000      -999.00000
       1.6562500       12.797000       3.6769553      -48.400000
       1.6666667       11.822000       1.8738330       44.000000
       1.6770833       13.713667       1.4977761       282.00000
       1.6875000       17.697000       2.8155816       54.400000
       1.6979167       14.847000       3.0549141      -128.80000
       1.7083333       15.013667       4.7149585       49.600000
       1.7187500      -999.00000      -999.00000      -999.00000
       1.7291667       17.447000       0.0000000      -20.000000
       1.7395833      -999.00000      -999.00000      -999.00000
       1.7500000       14.180333       2.8444390      -102.40000
       1.7604167       13.397000       2.9698485      -184.00000
       1.7708333       10.347000       2.2655022      -201.20000
       1.7812500      -999.00000      -999.00000      -999.00000
       1.7916667       9.9720000       2.0859650      -7.2000000
       1.8020833      -999.00000      -999.00000      -999.00000
       1.8125000       10.047000       3.4731110       25.733333
       1.8229167       10.430333       2.1126603      -33.600000
       1.8333333       9.3470000       3.3170017      -38.400000
       1.8437500       9.6303333       2.0126682      -32.400000
       1.8541667       8.6720000       2.8637825       33.200000
       1.8645833       10.322000      0.45961941       106.00000
       1.8750000      -999.00000      -999.00000      -999.00000
       1.8854167       10.347000      0.35355339      -153.20000
       1.8958333       7.9470000       3.1819805      -181.80000
       1.9062500       6.5595000       3.0554255      -176.20000
       1.9166667      -999.00000      -999.00000      -999.00000
       1.9270833       1.0970000      0.14142136      -126.30000
       1.9375000      -999.00000      -999.00000      -999.00000
       1.9479167       1.2970000      0.35355339       150.40000
       1.9583333       3.5970000       2.9449109       28.000000
       1.9687500       1.8803333       2.5540817      -48.800000
       1.9791667       2.5803333       2.1542593      -6.4000000
       1.9895833       1.7470000       2.3430749      -37.600000
       2.0000000       1.7970000       1.9798990       4.0000000
       2.0104167      -999.00000      -999.00000      -999.00000
       2.0208333      -999.00000      -999.00000      -999.00000
       2.0312500       1.8470000      0.14142136       14.080000
       2.0416667      -999.00000      -999.00000      -999.00000
       2.0520833       2.3136667       1.1060440      -27.000000
       2.0625000      -999.00000      -999.00000      -999.00000
       2.0729167      0.72200000      0.67175144      -37.600000
       2.0833333      -999.00000      -999.00000      -999.00000
       2.0937500      0.74700000      0.28284271       5.4000000
       2.1041667      -999.00000      -999.00000      -999.00000
       2.1145833      0.94700000     0.070710678       406.40000
       2.1250000       7.2470000       4.8500000       156.80000
       2.1354167       4.2136667       5.4993939       32.800000
       2.1458333       7.9303333       4.8130898       258.93333
       2.1562500      -999.00000      -999.00000      -999.00000
       2.1666667       9.2470000      0.98994949      -32.000000
       2.1770833      -999.00000      -999.00000      -999.00000
       2.1875000       6.5970000       3.3552198      -156.00000
       2.1979167       4.8220000       4.4194174      -95.200000
       2.2083333       4.6136667       1.6810215      -56.800000
       2.2187500      -999.00000      -999.00000      -999.00000
       2.2291667       1.8970000      0.84852814       19.600000
       2.2395833      -999.00000      -999.00000      -999.00000
       2.2500000       5.4303333      0.93050166       40.533333
       2.2604167       5.1803333       1.0275375      -94.400000
       2.2708333       3.4636667       2.1945007      -87.200000
       2.2812500       3.3636667       1.3363508      -11.600000
       2.2916667       3.2220000       1.2374369      -83.600000
       2.3020833       1.6220000     0.035355339      -78.400000
       2.3125000      -999.00000      -999.00000      -999.00000
       2.3229167       3.1220000      0.38890873      -9.6000000
       2.3333333       2.5970000       2.5455844       25.800000
       2.3437500       3.6595000      0.42695628       62.600000
       2.3541667      -999.00000      -999.00000      -999.00000
       2.3645833       3.3220000      0.17677670      -36.900000
       2.3750000      -999.00000      -999.00000      -999.00000
       2.3854167       2.1220000       1.5202796       197.86667
       2.3958333       5.5136667       2.0714327       107.60000
       2.4062500       4.3636667       2.0702254       106.40000
       2.4166667       7.7303333       2.7610385       72.800000
       2.4270833       5.8803333       5.4629052       128.00000
       2.4375000       10.397000       5.1119957       435.73867
       2.4479167      -999.00000      -999.00000      -999.00000
       2.4583333       19.564000       1.8625193       194.27200
       2.4687500      -999.00000      -999.00000      -999.00000
       2.4791667       18.491667       7.6838588      -376.81600
       2.4895833       12.872000       4.3487067      -306.14400
       2.5000000       12.113667       5.3500779      -146.80000
       2.5104167      -999.00000      -999.00000      -999.00000
       2.5208333       5.9720000      0.31819805      -36.800000
       2.5312500      -999.00000      -999.00000      -999.00000
       2.5416667       10.580333       4.4601943       404.40000
       2.5520833       15.747000       7.2251298       4.8000000
       2.5625000       10.680333       6.0766630       141.60000
       2.5729167       18.697000       7.7014609       174.80000
       2.5833333       14.322000       6.3993164      -98.400000
       2.5937500       16.647000      0.91923882       158.00000
       2.6041667      -999.00000      -999.00000      -999.00000
       2.6145833       17.222000       1.9445436      -179.60000
       2.6250000       14.272000       3.3587572      -80.592000
       2.6354167       15.543000       3.6739621       117.40800
       2.6458333      -999.00000      -999.00000      -999.00000
       2.6562500       17.797000       2.2627417       22.296000
       2.6666667      -999.00000      -999.00000      -999.00000
       2.6770833       16.472000       2.5102291      -95.333333
       2.6875000       15.313667       2.2529610      -162.00000
       2.6979167       13.097000       1.8661458      -30.400000
       2.7083333       14.680333      0.31754265       155.20000
       2.7187500       16.330333       2.0039544      -121.60000
       2.7291667       12.147000      0.30413813      -250.13333
       2.7395833      -999.00000      -999.00000      -999.00000
       2.7500000       13.247000     0.070710678       78.000000
       2.7604167      -999.00000      -999.00000      -999.00000
       2.7708333       15.397000       3.1476181      -60.000000
       2.7812500       13.922000       4.7729708      -113.60000
       2.7916667       13.030333       4.7353282      -99.200000
       2.8020833      -999.00000      -999.00000      -999.00000
       2.8125000       10.397000      0.49497475      -48.800000
       2.8229167      -999.00000      -999.00000      -999.00000
       2.8333333       10.997000       3.4543451       10.666667
       2.8437500       11.013667       2.5594596      -100.80000
       2.8541667       8.8970000       3.3774991      -36.000000
       2.8645833       10.263667       3.1425839       21.600000
       2.8750000       9.3470000       4.3133514       24.400000
       2.8854167       10.772000      0.38890873       80.400000
       2.8958333      -999.00000      -999.00000      -999.00000
       2.9062500       10.097000      0.91923882      -303.60000
       2.9166667       5.5220000       4.4194174      -253.20000
       2.9270833       4.8220000       3.0923292      -84.800000
       2.9375000      -999.00000      -999.00000      -999.00000
       2.9479167       2.3220000     0.035355339      -45.600000
       2.9583333      -999.00000      -999.00000      -999.00000
       2.9687500       2.9220000      0.17677670       36.800000
       2.9791667       3.3470000      0.13228757       73.200000
       2.9895833       4.4470000       1.2971122       104.40000
       3.0000000       5.5220000       3.8537320      -100.80000
       3.0104167       2.3470000     0.070710678      -122.40000
       3.0208333       2.9720000      0.81317280       34.800000
       3.0312500       3.0720000     0.035355339       8.0000000
       3.0416667      -999.00000      -999.00000      -999.00000
       3.0520833       3.1720000      0.31819805       40.500000
       3.0625000      -999.00000      -999.00000      -999.00000
       3.0729167       4.7595000      0.93038970       24.600000
       3.0833333       4.7470000       1.2020815      -91.800000
       3.0937500       2.8470000      0.28284271      -108.00000
       3.1041667      -999.00000      -999.00000      -999.00000
       3.1145833       3.6970000      0.14142136      -135.20000
       3.1250000       1.3720000       1.2374369      -145.60000
       3.1354167      0.66366667       1.7192537      -26.800000
       3.1458333      0.81366667       1.3650397      -1.6000000
       3.1562500      0.63033333       2.6600439       18.400000
       3.1666667       1.1970000       1.7965244       87.866667
       3.1770833      -999.00000      -999.00000      -999.00000
       3.1875000       4.4220000      0.10606602       51.600000
       3.1979167      -999.00000      -999.00000      -999.00000
       3.2083333       3.3470000       3.2500000      -154.80000
       3.2187500       1.1970000       3.0793668      -104.40000
       3.2291667       1.1720000       2.5809398      -85.200000
       3.2395833     -0.57800000      0.24748737      -70.800000
       3.2500000      -999.00000      -999.00000      -999.00000
       3.2604167       1.9970000      0.49497475       135.60000
       3.2708333       3.4720000       3.6415999       87.000000
       3.2812500       3.8095000       4.6497984      -9.6000000
       3.2916667       3.2720000       5.7629203       26.400000
       3.3020833       4.3595000       6.4304452       99.800000
       3.3125000      -999.00000      -999.00000      -999.00000
       3.3229167       6.2470000      0.35355339       56.700000
       3.3333333      -999.00000      -999.00000      -999.00000
       3.3437500       6.7220000       2.2980970      -259.60000
       3.3541667       2.5470000       5.4447222      -255.00000
       3.3645833       1.4095000       3.8013978      -116.40000
       3.3750000      0.12200000       3.0052038      -115.80000
       3.3854167      -1.0030000       1.2020815      -45.600000
       3.3958333      -999.00000      -999.00000      -999.00000
       3.4062500      0.64700000       1.1313708       397.60000
       3.4166667       6.4470000       5.1618795       244.00000
       3.4270833       5.7303333       3.2005208       207.20000
       3.4375000       10.763667       5.2569795       323.20000
       3.4479167       12.463667       4.9760259       258.40000
       3.4583333       16.147000       8.2214658       276.00533
       3.4687500      -999.00000      -999.00000      -999.00000
       3.4791667       18.664000       3.1353115      -8.4000000
       3.4895833      -999.00000      -999.00000      -999.00000
       3.5000000       15.797000       6.9375788      -29.872000
       3.5104167       16.047000       5.2325902      -141.60000
       3.5208333       12.847000       2.2588714      -157.60000
       3.5312500      -999.00000      -999.00000      -999.00000
       3.5416667       15.797000       6.5760931       19.600000
       3.5520833      -999.00000      -999.00000      -999.00000
       3.5625000       13.663667      0.82209083       72.533333
       3.5729167       15.330333       4.7120413       154.40000
       3.5833333       16.880333       4.8542078      -4.0000000
       3.5937500       15.247000       8.9314053      -80.800000
       3.6041667       15.197000       4.0305087      -175.20000
       3.6145833       11.597000       1.9091883      -204.80000
       3.6250000      -999.00000      -999.00000      -999.00000
       3.6354167       13.197000       1.6970563       67.200000
       3.6458333       13.847000       5.0911688       88.200000
       3.6562500       15.034500       5.5691674       171.60000
       3.6666667       17.422000       8.8034794      -204.60000
       3.6770833       10.772000     0.035355339      -440.00000
       3.6875000      -999.00000      -999.00000      -999.00000
       3.6979167       9.8720000      0.17677670       280.00000
       3.7083333       14.472000       5.9750523       216.40000
       3.7187500       14.380333       6.8275789       158.80000
       3.7291667       17.780333       6.6735173      -36.256000
       3.7395833       13.625000       6.2936199       26.144000
       3.7500000       18.325000       7.1512133       222.35200
       3.7604167      -999.00000      -999.00000      -999.00000
       3.7708333       13.422000      0.31819805      -149.47200
       3.7812500      -999.00000      -999.00000      -999.00000
       3.7916667       12.097000       2.4222923      -21.200000
       3.8020833       12.097000      0.42426407      -42.400000
       3.8125000       11.213667       3.7928661      -107.20000
       3.8229167      -999.00000      -999.00000      -999.00000
       3.8333333       8.0470000      0.49497475      -96.800000
       3.8437500      -999.00000      -999.00000      -999.00000
       3.8541667       7.1803333      0.84310932       29.866667
       3.8645833       7.8636667       1.0054021      -35.200000
       3.8750000       6.4470000       1.6070159      -49.600000
       3.8854167       6.8303333       1.2503333       30.000000
       3.8958333       7.0720000       2.5102291      -4.0000000
       3.9062500       6.7470000      0.63639610      -6.4000000
       3.9166667      -999.00000      -999.00000      -999.00000
       3.9270833       7.6470000       1.0606602      -239.46667
       3.9375000       3.6803333       2.3538975      -159.20000
       3.9479167       4.3303333       2.2805336      -115.60000
       3.9583333       1.2720000      0.38890873      -214.53333
       3.9687500      -999.00000      -999.00000      -999.00000
       3.9791667     0.097000000      0.21213203      -6.6000000
       3.9895833      -999.00000      -999.00000      -999.00000
       4.0000000      0.99700000       2.2627417      -14.400000
       4.0104167      0.54700000       2.7577164      -25.200000
       4.0208333      0.47200000       2.8637825       4.8000000
       4.0312500      0.64700000       2.1706374       9.6000000
       4.0416667      0.67200000       1.9445436       56.400000
       4.0520833       1.8220000      0.10606602       65.200000
       4.0625000      -999.00000      -999.00000      -999.00000
       4.0729167       1.2970000       1.4583095       41.200000
       4.0833333       2.0720000       2.2980970       23.400000
       4.0937500       1.7845000       1.5173304      -1.2000000
       4.1041667       2.0470000       2.3334524      -66.600000
       4.1145833      0.39700000     0.070710678      -98.000000
       4.1250000      -999.00000      -999.00000      -999.00000
       4.1354167      0.87200000       1.1667262       159.60000
       4.1458333       3.2470000       2.8991378       108.40000
       4.1562500       3.1303333       1.4020818      -16.800000
       4.1666667       2.8970000       1.8357560      -56.000000
       4.1770833       1.9636667       2.7795383      -29.600000
       4.1875000       2.2803333       2.7974691       30.933333
       4.1979167      -999.00000      -999.00000      -999.00000
       4.2083333       2.9470000      0.14142136       12.000000
       4.2187500      -999.00000      -999.00000      -999.00000
       4.2291667       2.7803333       2.7121640      -107.20000
       4.2395833       1.1470000       2.3921747      -37.600000
       4.2500000       1.9970000       2.4041631      -80.400000
       4.2604167     -0.52800000      0.17677670      -126.80000
       4.2708333      -999.00000      -999.00000      -999.00000
       4.2812500       1.6470000       1.0606602       159.60000
       4.2916667       3.5970000       2.4041631       61.800000
       4.3020833       2.9345000       1.9006030      -64.800000
       4.3125000       2.2470000       3.1112698      -61.200000
       4.3229167       1.6595000       2.7599441       7.0000000
       4.3333333      -999.00000      -999.00000      -999.00000
       4.3437500       4.4470000      0.70710678       37.500000
       4.3541667      -999.00000      -999.00000      -999.00000
       4.3645833       3.2220000      0.24748737      -171.60000
       4.3750000      0.84700000       2.5134637      -94.000000
       4.3854167       1.2636667       1.9731531      -24.000000
       4.3958333      0.34700000       3.1180924      -65.466667
       4.4062500      -999.00000      -999.00000      -999.00000
       4.4166667    -0.078000000       1.0960155       79.200000
       4.4270833      -999.00000      -999.00000      -999.00000
       4.4375000       3.6470000       1.0500000       112.40000
       4.4479167       4.4720000       1.8738330       147.60000
       4.4583333       6.7220000       2.7693260       122.40000
       4.4687500       7.0220000       1.8031223       145.20000
       4.4791667       9.7470000       3.0116441       236.40000
       4.4895833      -999.00000      -999.00000      -999.00000
       4.5000000       13.622000      0.74246212       69.600000
       4.5104167      -999.00000      -999.00000      -999.00000
       4.5208333       12.647000       2.1000000       83.600000
       4.5312500       14.197000       1.4142136       21.600000
       4.5416667       13.097000       1.1629703      -107.20000
       4.5520833      -999.00000      -999.00000      -999.00000
       4.5625000       10.797000       4.4547727       6.0000000
       4.5729167      -999.00000      -999.00000      -999.00000
       4.5833333       13.347000       2.7418060       131.46667
       4.5937500       14.763667       1.0610529       88.800000
       4.6041667       15.197000       1.0828204      -48.000000
       4.6145833       13.763667       2.0312147      -127.20000
       4.6250000       12.547000       4.0305087       8.8000000
       4.6354167       13.947000      0.49497475       109.20000
       4.6458333      -999.00000      -999.00000      -999.00000
       4.6562500       15.172000      0.24748737      -180.40000
       4.6666667       12.047000       3.2526912      -199.20000
       4.6770833       11.022000       3.1116716      -85.200000
       4.6875000      -999.00000      -999.00000      -999.00000
       4.6979167       9.7970000      0.14142136      -60.000000
       4.7083333      -999.00000      -999.00000      -999.00000
       4.7187500       8.5220000      0.38890873       50.533333
       4.7291667       9.6303333      0.93050166       49.200000
       4.7395833       9.5470000       2.5548973       52.800000
       4.7500000       10.730333       1.1793360      -8.0000000
       4.7604167       9.3803333       1.8710514      -52.800000
       4.7708333       9.6303333       1.2250850       29.866667
       4.7812500      -999.00000      -999.00000      -999.00000
       4.7916667       10.497000      0.14142136      -26.000000
       4.8020833      -999.00000      -999.00000      -999.00000
       4.8125000       8.5470000       2.2951035      -20.000000
       4.8229167       8.7220000       3.2880465      -18.400000
       4.8333333       8.1636667       1.2887332      -72.400000
       4.8437500      -999.00000      -999.00000      -999.00000
       4.8541667       5.8720000      0.17677670      -46.000000
       4.8645833      -999.00000      -999.00000      -999.00000
       4.8750000       6.2470000       1.0897247       10.266667
       4.8854167       6.3136667      0.58594653      -45.600000
       4.8958333       5.2970000      0.86746758      -61.600000
       4.9062500       5.0303333      0.10408330       6.0000000
       4.9166667       5.4220000       1.8031223      -46.000000
       4.9270833       4.0720000      0.10606602      -96.000000
       4.9375000      -999.00000      -999.00000      -999.00000
       4.9479167       3.4720000      0.31819805      -133.86667
       4.9583333       1.5303333      0.93585968      -101.20000
       4.9687500       1.3636667      0.80052066      -31.600000
       4.9791667      0.87200000      0.10606602      -34.000000
       4.9895833      -999.00000      -999.00000      -999.00000
       5.0000000      -999.00000      -999.00000      -999.00000
       5.0104167       1.0470000       1.6970563       43.232000
       5.0208333       1.6280000       3.0674292      -22.800000
       5.0312500      0.57200000       1.7937391      -91.488000
       5.0416667     -0.27800000      0.95459415      -16.800000
       5.0520833      0.22200000       1.3931379       27.600000
       5.0625000      -999.00000      -999.00000      -999.00000
       5.0729167      -999.00000      -999.00000      -999.00000
       5.0833333      -999.00000      -999.00000      -999.00000
       5.0937500      -2.0280000      0.10606602       62.800000
       5.1041667      -999.00000      -999.00000      -999.00000
       5.1145833      0.49700000       2.7258026       37.200000
       5.1250000      0.44700000       2.9698485       134.40000
       5.1354167       3.2970000     0.070710678       198.40000
       5.1458333      -999.00000      -999.00000      -999.00000
       5.1562500       4.2970000      0.84852814      -68.800000
       5.1666667       2.9720000       4.2072853       17.600000
       5.1770833       4.6636667       4.3824460      -102.00000
       5.1875000      0.84700000       2.6781523      -158.40000
       5.1979167       1.3636667       2.4006943      -20.000000
       5.2083333      0.43033333       3.4355980      -102.26667
       5.2187500      -999.00000      -999.00000      -999.00000
       5.2291667      -2.2280000      0.31819805      -18.800000
       5.2395833      -999.00000      -999.00000      -999.00000
       5.2500000     -0.35300000       2.7536340       86.000000
       5.2604167      0.52200000       1.8738330       84.000000
       5.2708333       1.3970000       1.8821530       81.600000
       5.2812500      -999.00000      -999.00000      -999.00000
       5.2916667       2.9970000      0.14142136       23.600000
       5.3020833      -999.00000      -999.00000      -999.00000
       5.3125000       2.3803333       1.2848476      -73.866667
       5.3229167       1.3803333       1.1361485       8.8000000
       5.3333333       2.5636667       1.0539608      -39.200000
       5.3437500      0.56366667       1.3250786      -100.40000
       5.3541667      0.47200000       1.7324116      -71.600000
       5.3645833     -0.92800000      0.24748737      -103.60000
       5.3750000      -999.00000      -999.00000      -999.00000
       5.3854167      -1.8030000      0.21213203       104.40000
       5.3958333     0.047000000       2.2627417       108.60000
       5.4062500      0.45950000       1.7518443       38.400000
       5.4166667      0.84700000       2.3334524       205.80000
       5.4270833       4.7470000      0.49497475       306.00000
       5.4375000      -999.00000      -999.00000      -999.00000
       5.4479167       8.2720000      0.31819805       261.20000
       5.4583333       11.472000     0.035355339       198.80000
       5.4687500       12.413667       4.2954433       16.400000
       5.4791667       11.813667       7.3943109       198.94400
       5.4895833       16.558333       8.9232329       1.3440000
       5.5000000       11.841667       7.8302481      -360.58133
       5.5104167      -999.00000      -999.00000      -999.00000
       5.5208333       8.1720000      0.53033009       3.3280000
       5.5312500      -999.00000      -999.00000      -999.00000
       5.5416667       11.980333       4.7471922       167.60000
       5.5520833       13.647000       4.6669048       59.200000
       5.5625000       13.213667       1.9699831      -10.400000
       5.5729167      -999.00000      -999.00000      -999.00000
       5.5833333       14.297000       1.6263456      -24.400000
       5.5937500      -999.00000      -999.00000      -999.00000
       5.6041667       12.197000       2.4500000      -138.13333
       5.6145833       10.563667      0.80983537       21.600000
       5.6250000       12.647000       1.7965244       92.800000
       5.6354167       12.497000       1.0111874      -70.800000
       5.6458333       11.172000       2.0152543      -24.000000
       5.6562500       11.997000      0.98994949       32.000000
       5.6666667      -999.00000      -999.00000      -999.00000
       5.6770833       10.697000      0.42426407       56.000000
       5.6875000       11.897000       2.8991378       86.400000
       5.6979167       12.497000      0.64161255       30.000000
       5.7083333       12.522000       1.1667262      -43.200000
       5.7187500       11.597000       2.2627417      -54.400000
       5.7291667      -999.00000      -999.00000      -999.00000
       5.7395833       11.897000      0.28284271       51.200000
       5.7500000       12.622000      0.10606602      -23.200000
       5.7604167       11.413667       1.3650397      -58.800000
       5.7708333       11.397000      0.87177979      -26.400000
       5.7812500       10.863667      0.80983537      0.80000000
       5.7916667       11.413667      0.41633320       18.933333
       5.8020833      -999.00000      -999.00000      -999.00000
       5.8125000       10.397000      0.63639610      -67.200000
       5.8229167      -999.00000      -999.00000      -999.00000
       5.8333333       8.6136667      0.93852722      0.80000000
       5.8437500       9.0720000       2.3688077      -12.800000
       5.8541667       8.3470000       1.1651180      -71.600000
       5.8645833      -999.00000      -999.00000      -999.00000
       5.8750000       6.7720000      0.88388348      -78.800000
       5.8854167      -999.00000      -999.00000      -999.00000
       5.8958333       5.0636667      0.52993710      -83.866667
