#      
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       1.2916667      0.19435000    0.0034648232      0.99920000
       1.3020833      -999.00000      -999.00000      -999.00000
       1.3125000      0.28083333     0.072453870       3.9501333
       1.3229167      0.32093333     0.086072082      0.57760000
       1.3333333      0.29286667      0.13140237      0.91760000
       1.3437500      0.34005000     0.049002500       3.7821333
       1.3541667      -999.00000      -999.00000      -999.00000
       1.3645833      0.38770000     0.060386919     -0.99540000
       1.3750000      -999.00000      -999.00000      -999.00000
       1.3854167      0.29857500     0.096094654      -1.8532000
       1.3958333      0.29190000      0.12374369     -0.41640000
       1.4062500      0.28990000     0.091975975      0.62880000
       1.4166667      0.30500000      0.12162237      -4.4328000
       1.4270833      0.19755000    0.0065760931      -7.0304000
       1.4375000      -999.00000      -999.00000      -999.00000
       1.4479167      0.18795000    0.0051618795       5.8208000
       1.4583333      0.28130000      0.12049100       1.8488000
       1.4687500      0.22646667     0.054634177       3.2576000
       1.4791667      0.34916667      0.14099909       7.1053333
       1.4895833      -999.00000      -999.00000      -999.00000
       1.5000000      0.30245000    0.0081317280      -2.2992000
       1.5104167      -999.00000      -999.00000      -999.00000
       1.5208333      0.25336667     0.068893130      -4.0472000
       1.5312500      0.20240000     0.059821234     -0.25280000
       1.5416667      0.24810000     0.099377999       1.4616000
       1.5520833      0.23285000     0.094115913      -1.8400000
       1.5625000      0.20976667     0.084934700      -2.0752000
       1.5729167      -999.00000      -999.00000      -999.00000
       1.5833333      0.17240000    0.0049497475     -0.41040000
       1.5937500      -999.00000      -999.00000      -999.00000
       1.6041667      0.19266667     0.080202515       4.3605333
       1.6145833      0.25573333     0.092040009      0.44000000
       1.6250000      0.20183333     0.086233482       1.8224000
       1.6354167      0.29370000     0.019940411       7.2050667
       1.6458333      -999.00000      -999.00000      -999.00000
       1.6562500      0.37655000     0.083933575     -0.40080000
       1.6666667      -999.00000      -999.00000      -999.00000
       1.6770833      0.27700000      0.10094754       2.0168000
       1.6875000      0.33340000      0.21227346      0.22320000
       1.6979167      0.28165000     0.098751861       8.5416000
       1.7083333      0.51135000      0.44667935      -2.4576000
       1.7187500      0.23045000    0.0023334524      -18.250400
       1.7291667      -999.00000      -999.00000      -999.00000
       1.7395833      0.21340000     0.013010765       5.0680000
       1.7500000      0.29685000      0.12480435       2.6752000
       1.7604167      0.26913333     0.099839087       1.8184000
       1.7708333      0.33473333      0.11168269       6.0842667
       1.7812500      -999.00000      -999.00000      -999.00000
       1.7916667      0.45260000     0.041295036     -0.39440000
       1.8020833      -999.00000      -999.00000      -999.00000
       1.8125000      0.31830000     0.099420370      -4.9008000
       1.8229167      0.27530000      0.10960155      -1.7148000
       1.8333333      0.28257500     0.096380232      0.85920000
       1.8437500      0.29320000      0.10861160     0.014000000
       1.8541667      0.28286667      0.10438488      -1.6608000
       1.8645833      -999.00000      -999.00000      -999.00000
       1.8750000      0.22040000   0.00098994949       5.4408000
       1.8854167      -999.00000      -999.00000      -999.00000
       1.8958333      0.50956667      0.52364349       17.413867
       1.9062500      0.70936667      0.42648145       1.1176000
       1.9166667      0.53285000      0.45841733       2.2528000
       1.9270833      0.75630000     0.025738687       14.872000
       1.9375000      -999.00000      -999.00000      -999.00000
       1.9479167      0.79200000      0.63568900       3.3712000
       1.9583333      0.83575000      0.84152778      -11.359200
       1.9687500      0.55535000      0.45469598      -16.320000
       1.9791667      0.49575000      0.34754298      -3.1884000
       1.9895833      0.48892500      0.23560010      -1.4160000
       2.0000000      0.46625000      0.22153655      -5.1872000
       2.0104167      -999.00000      -999.00000      -999.00000
       2.0208333      0.23275000    0.0077074639      -5.4372000
       2.0312500      -999.00000      -999.00000      -999.00000
       2.0416667      0.23970000     0.014566400       8.2424000
       2.0520833      0.36675000      0.16383664       3.4672000
       2.0625000      0.31193333      0.12062853       2.0976000
       2.0729167      0.41045000     0.023122392       6.6994667
       2.0833333      -999.00000      -999.00000      -999.00000
       2.0937500      0.43510000    0.0049497475     -0.60840000
       2.1041667      -999.00000      -999.00000      -999.00000
       2.1145833      0.38510000      0.12154065      0.32640000
       2.1250000      0.40270000      0.21029356       2.3400000
       2.1354167      0.43385000      0.21087819      -2.0832000
       2.1458333      0.35930000      0.14608826      -7.7328000
       2.1562500      0.27275000    0.0081317280      -4.9352000
       2.1666667      -999.00000      -999.00000      -999.00000
       2.1770833      0.31050000     0.024607316       2.7608000
       2.1875000      0.34420000     0.066185195      0.26880000
       2.1979167      0.31610000     0.057012893      0.40800000
       2.2083333      0.35270000     0.074347024       3.1192000
       2.2187500      -999.00000      -999.00000      -999.00000
       2.2291667      0.40125000    0.0064346717      0.15280000
       2.2395833      -999.00000      -999.00000      -999.00000
       2.2500000      0.35906667     0.050854433      -1.5912000
       2.2604167      0.34475000     0.052962298     -0.89000000
       2.2708333      0.34052500     0.040154483     -0.59760000
       2.2812500      0.33230000     0.042567828     -0.13080000
       2.2916667      0.33780000     0.034650974     -0.46080000
