#
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       1.2916667      0.17667143     0.093889220     -0.33408000
       1.3020833      0.18880000     0.089234541      0.31769143
       1.3125000      0.18329000      0.11470279    -0.022254545
       1.3229167      0.18833636      0.12297984      0.70704000
       1.3333333      0.19802000      0.13371734     -0.28350545
       1.3437500      0.18243000      0.11986275      -1.1595600
       1.3541667      0.17386250      0.11272599      0.59376000
       1.3645833      0.19480000      0.15651252       2.0526000
       1.3750000      0.21662500      0.16748061     -0.37980000
       1.3854167      0.18688750      0.13706365      -2.0972000
       1.3958333      0.17293333      0.12872741      0.30780000
       1.4062500      0.19330000      0.13571096      0.89180000
       1.4166667      0.19151250      0.13077362       1.2696000
       1.4270833      0.21975000     0.094735437      -1.2047143
       1.4375000      0.16641429     0.097519544      -1.0728000
       1.4479167      0.19740000     0.097883417     -0.24644571
       1.4583333      0.16128000      0.11508825      -1.3200000
       1.4687500      0.16990000      0.10941266       1.5757964
       1.4791667      0.19410909      0.14174346      0.42000000
       1.4895833      0.17865000      0.14665331     -0.45056970
       1.5000000      0.18472222      0.11225593       1.2152000
       1.5104167      0.20396667      0.18371349      0.47207619
       1.5208333      0.19455714      0.11944242      -4.4547200
       1.5312500      0.11116000     0.096721730      -1.3977429
       1.5416667      0.16543750      0.11246183       1.3201200
       1.5520833      0.13866250     0.095056704       1.1618571
       1.5625000      0.18964286      0.11239424       2.4706000
       1.5729167      0.19013333     0.098024072      0.66274286
       1.5833333      0.20345000     0.075119099     -0.47740000
       1.5937500      0.18018750     0.084010976     -0.14320000
       1.6041667      0.20046667      0.13581599      0.10838182
       1.6145833      0.18244545     0.097280649      -1.5209600
       1.6250000      0.16878000      0.10271998      0.38661818
       1.6354167      0.19050000     0.090569103       5.2558933
       1.6458333      0.27827778      0.41807864       2.7792000
       1.6562500      0.24840000      0.15283551      -1.3501333
       1.6666667      0.25015000      0.22331327      -2.0002286
       1.6770833      0.20672857      0.12324542       2.6554286
       1.6875000      0.30547143      0.24898466     -0.17142857
       1.6979167      0.20315714      0.13042359      -4.1474286
       1.7083333      0.21906667      0.25516396     -0.29074286
       1.7187500      0.19710000     0.060439722      -2.6816000
       1.7291667      0.16320000     0.066455128       1.5860571
       1.7395833      0.23014286      0.10798234      0.75696000
       1.7500000      0.17897000     0.096466230     -0.88717714
       1.7604167      0.21166000      0.12240220      0.50640000
       1.7708333      0.18952000      0.13865261     -0.29636571
       1.7812500      0.20548571      0.12006838       1.5830400
       1.7916667      0.22250000      0.16685511       4.8880457
       1.8020833      0.30732000      0.15649057     0.088800000
       1.8125000      0.22435000      0.13818299      -5.3673600
       1.8229167      0.19550000      0.12427008      -2.1405333
       1.8333333      0.17975556      0.12310941      -1.6536000
       1.8437500      0.16105000      0.11794968       1.1757333
       1.8541667      0.20425000      0.11413063       1.3483200
       1.8645833      0.18914000      0.10999556      0.99240000
       1.8750000      0.22492500      0.10702408    -0.095862857
       1.8854167      0.18714286      0.10849513       1.9456800
       1.8958333      0.26546000      0.31471451       5.7260883
       1.9062500      0.30643636      0.32918161      0.21098667
       1.9166667      0.26985556      0.23503097     -0.17454545
       1.9270833      0.30280000      0.26159779      0.39733333
       1.9375000      0.27813333      0.28285419       4.7992000
